property_type,field_key,Label,Type,Required,Default,extractability,extract_policy,source_priority,scope,evidence_types,db_write_type,match_type,match_score,candidate_tables,candidate_column,db_target_example,resolved_table,resolved_column,resolution_reason,resolved,selector_json,db_target
multifamily,property_name,Property Name,text,✓,—,high,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_project,project_name,tbl_project.project_name,tbl_project,project_name,override_identity,True,,tbl_project.project_name
multifamily,address,Address,text,✓,—,high,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_project,address,tbl_project.address,tbl_project,address,override_identity,True,,tbl_project.address
multifamily,city,City,text,✓,—,high,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_project,city,tbl_project.city,tbl_project,city,override_identity,True,,tbl_project.city
multifamily,state,State,text,✓,—,high,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_project,state,tbl_project.state,tbl_project,state,override_identity,True,,tbl_project.state
multifamily,zip_code,ZIP Code,text,✓,—,high,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_project,zip_code,tbl_project.zip_code,tbl_project,zip_code,override_identity,True,,tbl_project.zip_code
multifamily,county,County,text,✓,Lookup,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_project,county,tbl_project.county,tbl_project,county,override_identity,True,,tbl_project.county
multifamily,year_built,Year Built,integer,✓,—,high,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_multifamily_property,year_built,tbl_multifamily_property.year_built,tbl_multifamily_property,year_built,ranked_candidates,True,,tbl_multifamily_property.year_built
multifamily,year_renovated,Year Renovated,integer,—,—,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_multifamily_property,year_renovated,tbl_multifamily_property.year_renovated,tbl_multifamily_property,year_renovated,ranked_candidates,True,,tbl_multifamily_property.year_renovated
multifamily,building_count,Number of Buildings,integer,—,1,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_multifamily_property,number_of_buildings,tbl_multifamily_property.number_of_buildings,tbl_multifamily_property,number_of_buildings,PATCHED_v3,True,,tbl_multifamily_property.number_of_buildings
multifamily,stories,Stories,integer,—,—,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_multifamily_property,stories,tbl_multifamily_property.stories,tbl_multifamily_property,stories,ranked_candidates,True,,tbl_multifamily_property.stories
multifamily,total_units,Total Units,integer,✓,—,high,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_multifamily_property,total_units,tbl_multifamily_property.total_units,tbl_multifamily_property,total_units,ranked_candidates,True,,tbl_multifamily_property.total_units
multifamily,rentable_sf,Rentable SF,integer,—,Calc from units,high,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_multifamily_property,rentable_sf,tbl_multifamily_property.rentable_sf,tbl_multifamily_property,rentable_sf,ranked_candidates,True,,tbl_multifamily_property.rentable_sf
multifamily,parking_spaces,Parking Spaces,integer,—,units × 1.5,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_multifamily_property,parking_spaces,tbl_multifamily_property.parking_spaces,tbl_multifamily_property,parking_spaces,ranked_candidates,True,,tbl_multifamily_property.parking_spaces
multifamily,parking_type,Parking Type,text,—,Surface,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_multifamily_property,parking_type,tbl_multifamily_property.parking_type,tbl_multifamily_property,parking_type,ranked_candidates,True,,tbl_multifamily_property.parking_type
multifamily,has_commercial_space,Has Commercial Space,boolean,—,false,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_multifamily_property,has_commercial_space,tbl_multifamily_property.has_commercial_space,tbl_multifamily_property,has_commercial_space,PATCHED_v3,True,,tbl_multifamily_property.has_commercial_space
multifamily,commercial_sf,Commercial SF,integer,—,—,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_multifamily_property,commercial_sf,tbl_multifamily_property.commercial_sf,tbl_multifamily_property,commercial_sf,PATCHED_v3,True,,tbl_multifamily_property.commercial_sf
multifamily,commercial_unit_count,Commercial Units,integer,—,—,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_multifamily_property,commercial_unit_count,tbl_multifamily_property.commercial_unit_count,tbl_multifamily_property,commercial_unit_count,PATCHED_v3,True,,tbl_multifamily_property.commercial_unit_count
multifamily,commercial_type,Commercial Type,text,—,—,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_multifamily_property,commercial_type,tbl_multifamily_property.commercial_type,tbl_multifamily_property,commercial_type,PATCHED_v3,True,,tbl_multifamily_property.commercial_type
multifamily,unit_type_name,Unit Type Name,text,✓,—,high,propose_for_validation,doc>user>benchmark,unit_type,"offering_memorandum,rent_roll",column,exact,1.0,tbl_multifamily_unit_type,unit_type_name,tbl_multifamily_unit_type.unit_type_name,tbl_multifamily_unit_type,unit_type_name,PATCHED_v3,True,,tbl_multifamily_unit_type.unit_type_name
multifamily,unit_type_sf,Unit Type Avg SF,integer,✓,—,high,propose_for_validation,doc>user>benchmark,unit_type,"offering_memorandum,rent_roll",column,exact,1.0,tbl_multifamily_unit_type,avg_square_feet,tbl_multifamily_unit_type.avg_square_feet,tbl_multifamily_unit_type,avg_square_feet,PATCHED_v3,True,,tbl_multifamily_unit_type.avg_square_feet
multifamily,bedrooms,Bedrooms,integer,✓,—,high,propose_for_validation,doc>user>benchmark,unit_type,"offering_memorandum,rent_roll",column,exact,1.0,tbl_multifamily_unit_type,bedrooms,tbl_multifamily_unit_type.bedrooms,tbl_multifamily_unit_type,bedrooms,PATCHED_v3,True,,tbl_multifamily_unit_type.bedrooms
multifamily,bathrooms,Bathrooms,decimal,✓,—,high,propose_for_validation,doc>user>benchmark,unit_type,"offering_memorandum,rent_roll",column,exact,1.0,tbl_multifamily_unit_type,bathrooms,tbl_multifamily_unit_type.bathrooms,tbl_multifamily_unit_type,bathrooms,PATCHED_v3,True,,tbl_multifamily_unit_type.bathrooms
multifamily,unit_count,Unit Count (per type),integer,✓,—,high,propose_for_validation,doc>user>benchmark,unit_type,"offering_memorandum,rent_roll",column,exact,1.0,tbl_multifamily_unit_type,unit_count,tbl_multifamily_unit_type.unit_count,tbl_multifamily_unit_type,unit_count,PATCHED_v3,True,,tbl_multifamily_unit_type.unit_count
multifamily,market_rent,Market Rent,currency,✓,—,high,propose_for_validation,doc>user>benchmark,unit_type,"comp_report,market_data,offering_memorandum,rent_roll",column,exact,1.0,tbl_multifamily_unit_type,market_rent,tbl_multifamily_unit_type.market_rent,tbl_multifamily_unit_type,market_rent,PATCHED_v3,True,,tbl_multifamily_unit_type.market_rent
multifamily,current_rent,Current Rent (Avg),currency,—,—,high,propose_for_validation,doc>user>benchmark,unit_type,"offering_memorandum,rent_roll",column,exact,1.0,tbl_multifamily_unit_type,current_rent_avg,tbl_multifamily_unit_type.current_rent_avg,tbl_multifamily_unit_type,current_rent_avg,PATCHED_v3,True,,tbl_multifamily_unit_type.current_rent_avg
multifamily,concessions,Concessions,currency,—,0,medium,propose_for_validation,doc>user>benchmark,unit_type,"offering_memorandum,rent_roll",column,exact,1.0,tbl_multifamily_unit_type,concessions_avg,tbl_multifamily_unit_type.concessions_avg,tbl_multifamily_unit_type,concessions_avg,PATCHED_v3,True,,tbl_multifamily_unit_type.concessions_avg
multifamily,physical_vacancy_pct,Physical Vacancy %,percent,—,5.0%,high,propose_for_validation,doc>user>benchmark,project,"offering_memorandum,rent_roll",row_assumption,exact,1.0,tbl_project_assumption,assumption_value,tbl_project_assumption.assumption_value,tbl_project_assumption,assumption_value,row_based_assumption,True,"{""assumption_key"": ""physical_vacancy_pct"", ""scope"": ""project""}",tbl_project_assumption.assumption_value
multifamily,economic_vacancy_pct,Economic Vacancy %,percent,—,7.0%,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,row_assumption,exact,1.0,tbl_project_assumption,assumption_value,tbl_project_assumption.assumption_value,tbl_project_assumption,assumption_value,row_based_assumption,True,"{""assumption_key"": ""economic_vacancy_pct"", ""scope"": ""project""}",tbl_project_assumption.assumption_value
multifamily,bad_debt_pct,Bad Debt %,percent,—,1.0%,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,row_assumption,exact,1.0,tbl_project_assumption,assumption_value,tbl_project_assumption.assumption_value,tbl_project_assumption,assumption_value,row_based_assumption,True,"{""assumption_key"": ""bad_debt_pct"", ""scope"": ""project""}",tbl_project_assumption.assumption_value
multifamily,rent_growth_pct,Rent Growth %,percent,—,3.0%,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,row_assumption,exact,1.0,tbl_project_assumption,assumption_value,tbl_project_assumption.assumption_value,tbl_project_assumption,assumption_value,row_based_assumption,True,"{""assumption_key"": ""rent_growth_pct"", ""scope"": ""project""}",tbl_project_assumption.assumption_value
multifamily,expense_growth_pct,Expense Growth %,percent,—,2.5%,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,row_assumption,exact,1.0,tbl_project_assumption,assumption_value,tbl_project_assumption.assumption_value,tbl_project_assumption,assumption_value,row_based_assumption,True,"{""assumption_key"": ""expense_growth_pct"", ""scope"": ""project""}",tbl_project_assumption.assumption_value
multifamily,opex_property_taxes,Property Taxes,currency,✓,—,high,propose_for_validation,doc>user>benchmark,project,"offering_memorandum,t12",row_opex,exact,1.0,tbl_operating_expense,amount,tbl_operating_expense.amount,tbl_operating_expense,amount,row_based_opex,True,"{""category_name"": ""Property Taxes""}",tbl_operating_expense.amount
multifamily,opex_insurance,Insurance,currency,✓,—,high,propose_for_validation,doc>user>benchmark,project,"offering_memorandum,t12",row_opex,exact,1.0,tbl_operating_expense,amount,tbl_operating_expense.amount,tbl_operating_expense,amount,row_based_opex,True,"{""category_name"": ""Insurance""}",tbl_operating_expense.amount
multifamily,opex_utilities,Utilities,currency,✓,—,high,propose_for_validation,doc>user>benchmark,project,"offering_memorandum,t12",row_opex,exact,1.0,tbl_operating_expense,amount,tbl_operating_expense.amount,tbl_operating_expense,amount,row_based_opex,True,"{""category_name"": ""Utilities""}",tbl_operating_expense.amount
multifamily,opex_repairs_maintenance,Repairs & Maintenance,currency,✓,—,high,propose_for_validation,doc>user>benchmark,project,"offering_memorandum,t12",row_opex,exact,1.0,tbl_operating_expense,amount,tbl_operating_expense.amount,tbl_operating_expense,amount,row_based_opex,True,"{""category_name"": ""Repairs & Maintenance""}",tbl_operating_expense.amount
multifamily,opex_management_fee,Management Fee,currency,✓,—,high,propose_for_validation,doc>user>benchmark,project,"offering_memorandum,t12",row_opex,exact,1.0,tbl_operating_expense,amount,tbl_operating_expense.amount,tbl_operating_expense,amount,row_based_opex,True,"{""category_name"": ""Management Fee""}",tbl_operating_expense.amount
multifamily,opex_payroll,Payroll,currency,—,—,medium,propose_for_validation,doc>user>benchmark,project,"offering_memorandum,t12",row_opex,exact,1.0,tbl_operating_expense,amount,tbl_operating_expense.amount,tbl_operating_expense,amount,row_based_opex,True,"{""category_name"": ""Payroll""}",tbl_operating_expense.amount
multifamily,opex_marketing,Marketing,currency,—,—,medium,propose_for_validation,doc>user>benchmark,project,"offering_memorandum,t12",row_opex,exact,1.0,tbl_operating_expense,amount,tbl_operating_expense.amount,tbl_operating_expense,amount,row_based_opex,True,"{""category_name"": ""Marketing""}",tbl_operating_expense.amount
multifamily,opex_admin,Administrative,currency,—,—,medium,propose_for_validation,doc>user>benchmark,project,"offering_memorandum,t12",row_opex,exact,1.0,tbl_operating_expense,amount,tbl_operating_expense.amount,tbl_operating_expense,amount,row_based_opex,True,"{""category_name"": ""Administrative""}",tbl_operating_expense.amount
multifamily,opex_contract_services,Contract Services,currency,—,—,medium,propose_for_validation,doc>user>benchmark,project,"offering_memorandum,t12",row_opex,exact,1.0,tbl_operating_expense,amount,tbl_operating_expense.amount,tbl_operating_expense,amount,row_based_opex,True,"{""category_name"": ""Contract Services""}",tbl_operating_expense.amount
multifamily,opex_turnover,Turnover Costs,currency,—,—,medium,propose_for_validation,doc>user>benchmark,project,"offering_memorandum,t12",row_opex,exact,1.0,tbl_operating_expense,amount,tbl_operating_expense.amount,tbl_operating_expense,amount,row_based_opex,True,"{""category_name"": ""Turnover Costs""}",tbl_operating_expense.amount
multifamily,opex_reserves,Replacement Reserves,currency,—,—,medium,propose_for_validation,doc>user>benchmark,project,"offering_memorandum,t12",row_opex,exact,1.0,tbl_operating_expense,amount,tbl_operating_expense.amount,tbl_operating_expense,amount,row_based_opex,True,"{""category_name"": ""Replacement Reserves""}",tbl_operating_expense.amount
multifamily,capex_total,Total CapEx,currency,—,—,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_multifamily_property,capex_budget,tbl_multifamily_property.capex_budget,tbl_multifamily_property,capex_budget,ranked_candidates,True,,tbl_multifamily_property.capex_budget
multifamily,acquisition_price,Acquisition Price,currency,✓,—,high,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_project,acquisition_price,tbl_project.acquisition_price,tbl_project,acquisition_price,override_identity,True,,tbl_project.acquisition_price
multifamily,acquisition_date,Acquisition Date,date,—,Today + 60,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_project,acquisition_date,tbl_project.acquisition_date,tbl_project,acquisition_date,override_identity,True,,tbl_project.acquisition_date
multifamily,cap_rate_going_in,Going-In Cap Rate,percent,✓,—,high,propose_for_validation,doc>user>benchmark,project,offering_memorandum,row_assumption,exact,1.0,tbl_project_assumption,assumption_value,tbl_project_assumption.assumption_value,tbl_project_assumption,assumption_value,row_based_assumption,True,"{""assumption_key"": ""cap_rate_going_in"", ""scope"": ""project""}",tbl_project_assumption.assumption_value
multifamily,cap_rate_exit,Exit Cap Rate,percent,—,—,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,row_assumption,exact,1.0,tbl_project_assumption,assumption_value,tbl_project_assumption.assumption_value,tbl_project_assumption,assumption_value,row_based_assumption,True,"{""assumption_key"": ""cap_rate_exit"", ""scope"": ""project""}",tbl_project_assumption.assumption_value
multifamily,discount_rate,Discount Rate,percent,—,—,low,propose_for_validation,user>doc>benchmark,project,offering_memorandum,row_assumption,exact,1.0,tbl_project_assumption,assumption_value,tbl_project_assumption.assumption_value,tbl_project_assumption,assumption_value,row_based_assumption,True,"{""assumption_key"": ""discount_rate"", ""scope"": ""project""}",tbl_project_assumption.assumption_value
multifamily,hold_period_years,Hold Period (Years),decimal,—,5,low,propose_for_validation,user>doc>benchmark,project,offering_memorandum,row_assumption,exact,1.0,tbl_project_assumption,assumption_value,tbl_project_assumption.assumption_value,tbl_project_assumption,assumption_value,row_based_assumption,True,"{""assumption_key"": ""hold_period_years"", ""scope"": ""project""}",tbl_project_assumption.assumption_value
multifamily,loan_amount,Loan Amount,currency,—,—,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_debt_facility,loan_amount,tbl_debt_facility.loan_amount,tbl_debt_facility,loan_amount,ranked_candidates,True,,tbl_debt_facility.loan_amount
multifamily,ltv_pct,LTV %,percent,—,65%,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_debt_facility,ltv_pct,tbl_debt_facility.ltv_pct,tbl_debt_facility,ltv_pct,ranked_candidates,True,,tbl_debt_facility.ltv_pct
multifamily,interest_rate,Interest Rate,percent,—,Market,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_debt_facility,interest_rate,tbl_debt_facility.interest_rate,tbl_debt_facility,interest_rate,ranked_candidates,True,,tbl_debt_facility.interest_rate
multifamily,loan_term_years,Loan Term (Years),integer,—,10,low,propose_for_validation,user>doc>benchmark,project,offering_memorandum,column,exact,1.0,tbl_debt_facility,term_years,tbl_debt_facility.term_years,tbl_debt_facility,term_years,ranked_candidates,True,,tbl_debt_facility.term_years
multifamily,amortization_years,Amortization (Years),integer,—,30,low,propose_for_validation,user>doc>benchmark,project,offering_memorandum,column,exact,1.0,tbl_debt_facility,amortization_years,tbl_debt_facility.amortization_years,tbl_debt_facility,amortization_years,ranked_candidates,True,,tbl_debt_facility.amortization_years
multifamily,io_period_months,IO Period (Months),integer,—,0,low,propose_for_validation,user>doc>benchmark,project,offering_memorandum,column,exact,1.0,tbl_debt_facility,io_period_months,tbl_debt_facility.io_period_months,tbl_debt_facility,io_period_months,ranked_candidates,True,,tbl_debt_facility.io_period_months
multifamily,lender_name,Lender,text,—,—,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_debt_facility,lender_name,tbl_debt_facility.lender_name,tbl_debt_facility,lender_name,ranked_candidates,True,,tbl_debt_facility.lender_name
multifamily,origination_fee_pct,Origination Fee %,percent,—,1.0%,low,user_only,user>doc>benchmark,project,offering_memorandum,column,exact,1.0,tbl_debt_facility,origination_fee_pct,tbl_debt_facility.origination_fee_pct,tbl_debt_facility,origination_fee_pct,ranked_candidates,True,,tbl_debt_facility.origination_fee_pct
multifamily,preferred_return_pct,Preferred Return %,percent,—,8.0%,low,propose_for_validation,user>doc>benchmark,project,offering_memorandum,column,exact,1.0,tbl_equity,preferred_return_pct,tbl_equity.preferred_return_pct,tbl_equity,preferred_return_pct,ranked_candidates,True,,tbl_equity.preferred_return_pct
multifamily,promote_pct,GP Promote %,percent,—,20%,low,user_only,user>doc>benchmark,project,offering_memorandum,column,exact,1.0,tbl_equity,promote_pct,tbl_equity.promote_pct,tbl_equity,promote_pct,ranked_candidates,True,,tbl_equity.promote_pct
multifamily,distribution_frequency,Distribution Frequency,text,—,Quarterly,low,user_only,user>doc>benchmark,project,offering_memorandum,column,exact,1.0,tbl_equity,distribution_frequency,tbl_equity.distribution_frequency,tbl_equity,distribution_frequency,ranked_candidates,True,,tbl_equity.distribution_frequency
